,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,labels
32,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,2
33,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,2
34,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,0
35,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,2
36,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,2
37,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,2
38,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,0
39,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,2
40,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,2
41,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,2
42,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,0
43,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,0
44,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,0
45,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,2
46,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,2
47,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,2
48,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,0
49,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,2
50,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,2
51,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,0
52,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,0
53,Highland Park,2,2,3,1,0,2,1,1,1,2,1,1,0
54,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,2
55,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1,1
56,Knochando,2,3,1,0,0,2,2,1,2,1,2,2,0
57,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,1
58,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,1
59,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,2
60,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2,2
61,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,0
62,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,0
63,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,2
64,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,2
65,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,0
66,Oban,2,2,2,2,0,0,2,0,2,2,2,0,1
67,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,0
68,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,1
69,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,2
70,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,0
71,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,0
72,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,2
73,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,2
74,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,0
75,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,0
76,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,2
77,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,1
78,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,2
79,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,2
80,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,2
81,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,2
82,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,0
83,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,2
84,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,2
85,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,2
